Pancreatic Cancer Cell,VEGF,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,NFkB,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,AKT,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,PIP3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,PI3K,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,p53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pancreatic Cancer Cell,HIF1a,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,MDM2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pancreatic Cancer Cell,E2F,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,EGFR,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,FGFR,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,RAS,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,EGF,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,cJUN,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,JNK,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,ERK,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,bFGF,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,mTOR,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,DDTI4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,SMAD4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,TGFR,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,TGFb1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,PDGFBB,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,CyclinE,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PCC phenotype,Proliferation,0,0,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,
Pancreatic Cancer Cell,p21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PCC phenotype,Apoptosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pancreatic Cancer Cell,CASP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pancreatic Cancer Cell,BCLXL,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PCC phenotype,Angiogenesis_by_PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PCC phenotype,EMT,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
PCC phenotype,Lactate_Release,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
PCC phenotype,CSF_Release,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Pancreatic Cancer Cell,MYC,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
PCC phenotype,Growth,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Pancreatic Cancer Cell,B-catenin,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,HIF2a,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,STAT3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,BAD,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pancreatic Cancer Cell,RPS6KB1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Pancreatic Cancer Cell,TSC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
